起始地址,结束地址, 广播地址, 可分配主机数,掩码位,
60.205.64.0,60.205.127.255,60.205.127.255,16382,18,60.205.64.0/18
60.205.192.0,60.205.255.255,60.205.255.255,16382,18,60.205.192.0/18
60.205.128.0,60.205.255.255,60.205.255.255,32766,17,60.205.128.0/17
60.205.0.0,60.205.127.255,60.205.127.255,32766,17,60.205.0.0/17
60.205.0.0,60.205.255.255,60.205.255.255,65534,16,60.205.0.0/16
59.110.128.0,59.110.255.255,59.110.255.255,32766,17,59.110.128.0/17
59.110.0.0,59.110.127.255,59.110.127.255,32766,17,59.110.0.0/17
59.110.0.0,59.110.255.255,59.110.255.255,65534,16,59.110.0.0/16
47.99.128.0,47.99.255.255,47.99.255.255,32766,17,47.99.128.0/17
47.99.0.0,47.99.127.255,47.99.127.255,32766,17,47.99.0.0/17
47.99.0.0,47.99.255.255,47.99.255.255,65534,16,47.99.0.0/16
47.98.0.0,47.98.127.255,47.98.127.255,32766,17,47.98.0.0/17
47.98.0.0,47.98.255.255,47.98.255.255,65534,16,47.98.0.0/16
47.98.0.0,47.99.255.255,47.99.255.255,131070,15,47.98.0.0/15
47.97.128.0,47.97.255.255,47.97.255.255,32766,17,47.97.128.0/17
47.97.0.0,47.97.127.255,47.97.127.255,32766,17,47.97.0.0/17
47.96.128.0,47.96.255.255,47.96.255.255,32766,17,47.96.128.0/17
47.96.0.0,47.96.127.255,47.96.127.255,32766,17,47.96.0.0/17
47.96.0.0,47.96.255.255,47.96.255.255,65534,16,47.96.0.0/16
47.96.0.0,47.97.255.255,47.97.255.255,131070,15,47.96.0.0/15
47.95.128.0,47.95.255.255,47.95.255.255,32766,17,47.95.128.0/17
47.95.0.0,47.95.127.255,47.95.127.255,32766,17,47.95.0.0/17
47.94.128.0,47.94.255.255,47.94.255.255,32766,17,47.94.128.0/17
47.94.0.0,47.94.127.255,47.94.127.255,32766,17,47.94.0.0/17
47.94.0.0,47.95.255.255,47.95.255.255,131070,15,47.94.0.0/15
47.93.128.0,47.93.255.255,47.93.255.255,32766,17,47.93.128.0/17
47.93.0.0,47.93.127.255,47.93.127.255,32766,17,47.93.0.0/17
47.92.128.0,47.92.255.255,47.92.255.255,32766,17,47.92.128.0/17
47.92.0.0,47.92.127.255,47.92.127.255,32766,17,47.92.0.0/17
47.92.0.0,47.93.255.255,47.93.255.255,131070,15,47.92.0.0/15
47.92.0.0,47.95.255.255,47.95.255.255,262142,14,47.92.0.0/14
47.109.128.0,47.109.255.255,47.109.255.255,32766,17,47.109.128.0/17
47.109.0.0,47.109.127.255,47.109.127.255,32766,17,47.109.0.0/17
47.109.0.0,47.109.255.255,47.109.255.255,65534,16,47.109.0.0/16
47.108.128.0,47.108.255.255,47.108.255.255,32766,17,47.108.128.0/17
47.108.0.0,47.108.127.255,47.108.127.255,32766,17,47.108.0.0/17
47.108.0.0,47.108.255.255,47.108.255.255,65534,16,47.108.0.0/16
47.108.0.0,47.109.255.255,47.109.255.255,131070,15,47.108.0.0/15
47.107.128.0,47.107.255.255,47.107.255.255,32766,17,47.107.128.0/17
47.107.0.0,47.107.255.255,47.107.255.255,65534,16,47.107.0.0/16
47.106.0.0,47.106.127.255,47.106.127.255,32766,17,47.106.0.0/17
47.106.0.0,47.106.255.255,47.106.255.255,65534,16,47.106.0.0/16
47.106.0.0,47.107.255.255,47.107.255.255,131070,15,47.106.0.0/15
47.105.0.0,47.105.127.255,47.105.127.255,32766,17,47.105.0.0/17
47.105.0.0,47.105.255.255,47.105.255.255,65534,16,47.105.0.0/16
47.104.128.0,47.104.255.255,47.104.255.255,32766,17,47.104.128.0/17
47.104.0.0,47.104.127.255,47.104.127.255,32766,17,47.104.0.0/17
47.104.0.0,47.104.255.255,47.104.255.255,65534,16,47.104.0.0/16
47.104.0.0,47.105.255.255,47.105.255.255,131070,15,47.104.0.0/15
47.103.128.0,47.103.255.255,47.103.255.255,32766,17,47.103.128.0/17
47.103.0.0,47.103.127.255,47.103.127.255,32766,17,47.103.0.0/17
47.102.128.0,47.102.255.255,47.102.255.255,32766,17,47.102.128.0/17
47.102.0.0,47.102.127.255,47.102.127.255,32766,17,47.102.0.0/17
47.102.0.0,47.103.255.255,47.103.255.255,131070,15,47.102.0.0/15
47.100.128.0,47.100.255.255,47.100.255.255,32766,17,47.100.128.0/17
47.100.0.0,47.100.127.255,47.100.127.255,32766,17,47.100.0.0/17
47.100.0.0,47.101.255.255,47.101.255.255,131070,15,47.100.0.0/15
47.100.0.0,47.103.255.255,47.103.255.255,262142,14,47.100.0.0/14
42.96.192.0,42.96.255.255,42.96.255.255,16382,18,42.96.192.0/18
42.96.128.0,42.96.191.255,42.96.191.255,16382,18,42.96.128.0/18
42.96.128.0,42.96.255.255,42.96.255.255,32766,17,42.96.128.0/17
42.121.192.0,42.121.255.255,42.121.255.255,16382,18,42.121.192.0/18
42.121.128.0,42.121.191.255,42.121.191.255,16382,18,42.121.128.0/18
42.121.128.0,42.121.255.255,42.121.255.255,32766,17,42.121.128.0/17
42.121.0.0,42.121.63.255,42.121.63.255,16382,18,42.121.0.0/18
42.121.0.0,42.121.127.255,42.121.127.255,32766,17,42.121.0.0/17
42.121.0.0,42.121.255.255,42.121.255.255,65534,16,42.121.0.0/16
42.120.0.0,42.120.127.255,42.120.127.255,32766,17,42.120.0.0/17
42.120.0.0,42.120.255.255,42.120.255.255,65534,16,42.120.0.0/16
39.99.128.0,39.99.255.255,39.99.255.255,32766,17,39.99.128.0/17
39.99.0.0,39.99.127.255,39.99.127.255,32766,17,39.99.0.0/17
39.97.128.0,39.97.255.255,39.97.255.255,32766,17,39.97.128.0/17
39.97.0.0,39.97.127.255,39.97.127.255,32766,17,39.97.0.0/17
39.96.128.0,39.96.255.255,39.96.255.255,32766,17,39.96.128.0/17
39.96.0.0,39.96.127.255,39.96.127.255,32766,17,39.96.0.0/17
39.96.0.0,39.99.255.255,39.99.255.255,262142,14,39.96.0.0/14
39.96.0.0,39.103.255.255,39.103.255.255,524286,13,39.96.0.0/13
39.108.128.0,39.108.255.255,39.108.255.255,32766,17,39.108.128.0/17
39.108.0.0,39.108.127.255,39.108.127.255,32766,17,39.108.0.0/17
39.108.0.0,39.108.255.255,39.108.255.255,65534,16,39.108.0.0/16
39.107.128.0,39.107.255.255,39.107.255.255,32766,17,39.107.128.0/17
39.107.0.0,39.107.127.255,39.107.127.255,32766,17,39.107.0.0/17
39.107.0.0,39.107.255.255,39.107.255.255,65534,16,39.107.0.0/16
39.106.128.0,39.106.255.255,39.106.255.255,32766,17,39.106.128.0/17
39.106.0.0,39.106.127.255,39.106.127.255,32766,17,39.106.0.0/17
39.106.0.0,39.106.255.255,39.106.255.255,65534,16,39.106.0.0/16
39.106.0.0,39.107.255.255,39.107.255.255,131070,15,39.106.0.0/15
39.105.128.0,39.105.255.255,39.105.255.255,32766,17,39.105.128.0/17
39.104.0.0,39.104.127.255,39.104.127.255,32766,17,39.104.0.0/17
39.104.0.0,39.105.255.255,39.105.255.255,131070,15,39.104.0.0/15
39.104.0.0,39.107.255.255,39.107.255.255,262142,14,39.104.0.0/14
39.103.128.0,39.103.255.255,39.103.255.255,32766,17,39.103.128.0/17
39.103.0.0,39.103.127.255,39.103.127.255,32766,17,39.103.0.0/17
39.102.128.0,39.102.255.255,39.102.255.255,32766,17,39.102.128.0/17
39.102.0.0,39.102.127.255,39.102.127.255,32766,17,39.102.0.0/17
39.101.128.0,39.101.255.255,39.101.255.255,32766,17,39.101.128.0/17
39.101.0.0,39.101.127.255,39.101.127.255,32766,17,39.101.0.0/17
39.100.0.0,39.103.255.255,39.103.255.255,262142,14,39.100.0.0/14
223.7.128.0,223.7.255.255,223.7.255.255,32766,17,223.7.128.0/17
223.7.0.0,223.7.127.255,223.7.127.255,32766,17,223.7.0.0/17
223.7.0.0,223.7.255.255,223.7.255.255,65534,16,223.7.0.0/16
223.6.6.0,223.6.6.255,223.6.6.255,254,24,223.6.6.0/24
223.6.0.0,223.6.127.255,223.6.127.255,32766,17,223.6.0.0/17
223.6.0.0,223.6.255.255,223.6.255.255,65534,16,223.6.0.0/16
223.5.5.0,223.5.5.255,223.5.5.255,254,24,223.5.5.0/24
223.5.128.0,223.5.255.255,223.5.255.255,32766,17,223.5.128.0/17
223.5.0.0,223.5.127.255,223.5.127.255,32766,17,223.5.0.0/17
223.5.0.0,223.5.255.255,223.5.255.255,65534,16,223.5.0.0/16
223.4.128.0,223.4.255.255,223.4.255.255,32766,17,223.4.128.0/17
223.4.0.0,223.4.255.255,223.4.255.255,65534,16,223.4.0.0/16
223.4.0.0,223.7.255.255,223.7.255.255,262142,14,223.4.0.0/14
218.244.144.0,218.244.159.255,218.244.159.255,4094,20,218.244.144.0/20
218.244.128.0,218.244.143.255,218.244.143.255,4094,20,218.244.128.0/20
218.244.128.0,218.244.159.255,218.244.159.255,8190,19,218.244.128.0/19
203.119.192.0,203.119.223.255,203.119.223.255,8190,19,203.119.192.0/19
203.119.192.0,203.119.255.255,203.119.255.255,16382,18,203.119.192.0/18
203.119.144.0,203.119.151.255,203.119.151.255,2046,21,203.119.144.0/21
203.119.128.0,203.119.135.255,203.119.135.255,2046,21,203.119.128.0/21
203.107.6.0,203.107.6.255,203.107.6.255,254,24,203.107.6.0/24
203.107.39.0,203.107.39.255,203.107.39.255,254,24,203.107.39.0/24
203.107.38.0,203.107.38.255,203.107.38.255,254,24,203.107.38.0/24
203.107.37.0,203.107.37.255,203.107.37.255,254,24,203.107.37.0/24
203.107.36.0,203.107.36.255,203.107.36.255,254,24,203.107.36.0/24
203.107.36.0,203.107.39.255,203.107.39.255,1022,22,203.107.36.0/22
203.107.35.0,203.107.35.255,203.107.35.255,254,24,203.107.35.0/24
203.107.34.0,203.107.34.255,203.107.34.255,254,24,203.107.34.0/24
203.107.33.0,203.107.33.255,203.107.33.255,254,24,203.107.33.0/24
203.107.32.0,203.107.32.255,203.107.32.255,254,24,203.107.32.0/24
203.107.32.0,203.107.35.255,203.107.35.255,1022,22,203.107.32.0/22
203.107.32.0,203.107.39.255,203.107.39.255,2046,21,203.107.32.0/21
203.107.24.0,203.107.24.255,203.107.24.255,254,24,203.107.24.0/24
203.107.23.0,203.107.23.255,203.107.23.255,254,24,203.107.23.0/24
203.107.22.0,203.107.22.255,203.107.22.255,254,24,203.107.22.0/24
203.107.21.0,203.107.21.255,203.107.21.255,254,24,203.107.21.0/24
203.107.20.0,203.107.20.255,203.107.20.255,254,24,203.107.20.0/24
203.107.1.0,203.107.1.255,203.107.1.255,254,24,203.107.1.0/24
203.107.0.0,203.107.0.255,203.107.0.255,254,24,203.107.0.0/24
182.92.128.0,182.92.255.255,182.92.255.255,32766,17,182.92.128.0/17
182.92.0.0,182.92.127.255,182.92.127.255,32766,17,182.92.0.0/17
182.92.0.0,182.92.255.255,182.92.255.255,65534,16,182.92.0.0/16
170.33.9.0,170.33.9.255,170.33.9.255,254,24,170.33.9.0/24
170.33.8.0,170.33.8.255,170.33.8.255,254,24,170.33.8.0/24
170.33.32.0,170.33.32.255,170.33.32.255,254,24,170.33.32.0/24
170.33.32.0,170.33.39.255,170.33.39.255,2046,21,170.33.32.0/21
170.33.3.0,170.33.3.255,170.33.3.255,254,24,170.33.3.0/24
170.33.2.0,170.33.2.255,170.33.2.255,254,24,170.33.2.0/24
170.33.16.0,170.33.23.255,170.33.23.255,2046,21,170.33.16.0/21
170.33.11.0,170.33.11.255,170.33.11.255,254,24,170.33.11.0/24
